"movie","count ( _id )","latitude","longitude"
"Thunivu & Varisu","1","83.4052196224888","18.1120819"
"Varisu","4","85.8394521","20.2602964"
"Varisu","25","-123.113952","49.2608724"
"Varisu","8","77.4290492","8.1880471"
"Thunivu & Varisu","1","112.4178015","-7.8344579"
"Thunivu & Varisu","1","79.3637892","12.9254734"
"Thunivu & Varisu","1","-97.0669292","32.7579739"
"Thunivu & Varisu","6","31.7389749","-0.3408299"
"Varisu","1","5.3686422","43.2258226"
"Thunivu","55","78.3665347","10.9094334"
"Thunivu & Varisu","2","75.9206361","14.4661266"
"Thunivu","2","77.3472673","11.1671878"
"Thunivu & Varisu","4","75.5004841","30.9293211"
"Thunivu & Varisu","13","79.1328042","18.4348122"
"Varisu","1","78.2045948","17.0671702"
"Thunivu","1","-82.3090307","37.7139892"
"Varisu","1","83.0076292","25.3356491"
"Varisu","13","73.7684549","26.8105777"
"Varisu","1","8.2319736","46.7985624"
"Thunivu & Varisu","39","77.590082","12.9767936"
"Varisu","2","85.3205817","27.708317"
"Thunivu & Varisu","2","77.8784563961865","9.5208936"
"Thunivu & Varisu","2","-4.2488787","55.8609825"
"Varisu","28","-115.148516","36.1672559"
"Thunivu & Varisu","1","-77.7278831","40.9699889"
"Thunivu","1","80.6116162","17.5456307"
"Varisu","2","-92.1657348","44.6991325"
"Thunivu","13","-96.7968559","32.7762719"
"Thunivu","1","79.4824392","11.535987"
"Thunivu","2","74.5411575","32.4935378"
"Thunivu","5","-3.2765753","54.7023545"
"Thunivu","1","139.636768","35.444991"
"Thunivu & Varisu","2","76.5955013","8.8879509"
"Thunivu & Varisu","1","-86.4958219","34.3181497"
"Thunivu & Varisu","3","76.2220763","30.700625"
"Thunivu & Varisu","3","74.1933745","32.1525312"
"Thunivu","16","2.3200410217200766","48.8588897"
"Thunivu","1","152.801147","-27.633551"
"Varisu","3","80.1549869218863","12.8422129"
"Thunivu & Varisu","1","74.0114543","15.5626483"
"Varisu","3","74.5411575","32.4935378"
"Varisu","1","81.7804732","17.0050454"
"Varisu","1","114.0285535386117","22.331829"
"Thunivu & Varisu","2","80.66247852355892","7.877395849999999"
"Thunivu","3","-122.330062","47.6038321"
"Thunivu","3","-115.148516","36.1672559"
"Thunivu & Varisu","2","80.2415402","13.0892193"
"Thunivu","1","81.58909665667748","16.63713765"
"Varisu","2","85.3250387","23.3700501"
"Varisu","1","74.57175729734101","20.58968735"
"Varisu","2","-81.4639835","27.7567667"
"Varisu","2","80.06080046754784","15.5075545"
"Varisu","1","79.67222017841891","11.41018075"
"Thunivu","8","-73.7812103","42.8631868"
"Varisu","1","-81.6936772","41.4996574"
"Varisu","2","79.3181777","11.7020294"
"Varisu","6","77.345192","11.1017815"
"Thunivu & Varisu","2","81.7804732","17.0050454"
"Thunivu & Varisu","3","-112.074141","33.4484367"
"Varisu","1","-75.291367","43.105495"
"Varisu","1","-100.8726618","37.9716898"
"Thunivu","21","83.3012842","17.7231276"
"Thunivu","1","2.2578915","48.8476096"
"Thunivu","1","77.00991258704545","10.67047305"
"Thunivu","12","76.6553609","12.3051828"
"Thunivu","1","87.3012875","22.34309"
