"count ( _id )","latitude","longitude"
"63ba913e76cfd2f2afae0fee","77.5792694","8.7012203"
"63ba913f76cfd2f2afae0fef","76.5120396","10.3528744"
"63ba914176cfd2f2afae0ff7","77.5792694","8.7012203"
"63ba914376cfd2f2afae0fff","77.36536124793122","9.031895800000001"
"63ba914476cfd2f2afae1004","77.5792694","8.7012203"
"63ba914676cfd2f2afae1009","77.5792694","8.7012203"
"63ba914976cfd2f2afae1018","77.5792694","8.7012203"
"63ba914976cfd2f2afae1019","76.947551","8.4882267"
"63ba914a76cfd2f2afae101c","76.947551","8.4882267"
"63ba914f76cfd2f2afae102f","76.5120396","10.3528744"
"63ba914f76cfd2f2afae1031","76.5955013","8.8879509"
"63ba915076cfd2f2afae1034","77.5792694","8.7012203"
"63ba914376cfd2f2afae0ffc","77.5792694","8.7012203"
"63ba914576cfd2f2afae1005","77.5792694","8.7012203"
"63ba914776cfd2f2afae100f","76.947551","8.4882267"
"63ba914976cfd2f2afae1016","76.947551","8.4882267"
"63ba914176cfd2f2afae0ff4","77.5792694","8.7012203"
"63ba914076cfd2f2afae0ff1","76.947551","8.4882267"
"63ba914676cfd2f2afae100a","77.5792694","8.7012203"
"63ba914676cfd2f2afae100c","78.05427595640626","8.5024607"
"63ba914976cfd2f2afae1017","76.947551","8.4882267"
"63ba914a76cfd2f2afae101d","76.947551","8.4882267"
"63ba914d76cfd2f2afae1028","76.5955013","8.8879509"
"63ba914f76cfd2f2afae1030","77.5792694","8.7012203"
"63ba915076cfd2f2afae1035","77.5792694","8.7012203"
"63ba914076cfd2f2afae0ff0","76.947551","8.4882267"
"63ba914076cfd2f2afae0ff3","77.5792694","8.7012203"
"63ba914176cfd2f2afae0ff5","77.5792694","8.7012203"
"63ba914376cfd2f2afae0ffe","77.5792694","8.7012203"
"63ba914476cfd2f2afae1000","77.5792694","8.7012203"
"63ba914476cfd2f2afae1002","76.947551","8.4882267"
"63ba914776cfd2f2afae1010","77.5792694","8.7012203"
"63ba914876cfd2f2afae1013","77.5792694","8.7012203"
"63ba914876cfd2f2afae1014","77.5792694","8.7012203"
"63ba914976cfd2f2afae1015","76.947551","8.4882267"
"63ba914b76cfd2f2afae1021","77.5792694","8.7012203"
"63ba914e76cfd2f2afae102d","76.5955013","8.8879509"
"63ba915176cfd2f2afae1037","76.947551","8.4882267"
"63ba915176cfd2f2afae1038","77.5792694","8.7012203"
"63ba915276cfd2f2afae103e","77.5792694","8.7012203"
"63ba915376cfd2f2afae1040","76.947551","8.4882267"
"63ba914276cfd2f2afae0ffa","77.5792694","8.7012203"
"63ba914576cfd2f2afae1008","77.5792694","8.7012203"
"63ba914a76cfd2f2afae101a","77.5792694","8.7012203"
"63ba914a76cfd2f2afae101b","76.947551","8.4882267"
"63ba914c76cfd2f2afae1023","77.5792694","8.7012203"
"63ba915276cfd2f2afae103b","77.5792694","8.7012203"
"63ba914176cfd2f2afae0ff6","76.947551","8.4882267"
"63ba914676cfd2f2afae100b","77.5792694","8.7012203"
"63ba914c76cfd2f2afae1022","77.5792694","8.7012203"
"63ba914276cfd2f2afae0ffb","77.5792694","8.7012203"
"63ba914076cfd2f2afae0ff2","77.5792694","8.7012203"
"63ba914276cfd2f2afae0ff9","76.947551","8.4882267"
"63ba914476cfd2f2afae1001","76.947551","8.4882267"
"63ba914476cfd2f2afae1003","78.07975266019861","8.756745200000001"
"63ba914776cfd2f2afae100d","77.5792694","8.7012203"
"63ba914776cfd2f2afae100e","77.5792694","8.7012203"
"63ba914876cfd2f2afae1011","76.947551","8.4882267"
"63ba914d76cfd2f2afae1026","77.5792694","8.7012203"
"63ba915076cfd2f2afae1033","77.5792694","8.7012203"
"63ba914376cfd2f2afae0ffd","77.5792694","8.7012203"
"63ba914576cfd2f2afae1007","77.5792694","8.7012203"
"63ba914876cfd2f2afae1012","76.947551","8.4882267"
"63ba914e76cfd2f2afae102c","76.947551","8.4882267"
"63ba914e76cfd2f2afae102e","76.5955013","8.8879509"
"63ba914f76cfd2f2afae1032","77.5792694","8.7012203"
"63ba915076cfd2f2afae1036","77.5792694","8.7012203"
"63ba915376cfd2f2afae1042","76.947551","8.4882267"
